BOEKENLIJST
 
Fysieke boeken
Adler-olsen, Jussi – De fazantenmoordenaar - 2010
Bernauw, Patrick – Het bloed van het lam - 2006
Brown, Dan – De Da Vinci Code - 2003
Brown, Dan – De Delta Deceptie - 2001
Brown, Dan – Het Bernini Mysterie - 2000
Brown, Dan – Het Juvenalis Dilemma -1998
Brown, Dan – Het Ultieme Geheim – 2025
Brown, Dan – Het Verloren Symbool - 2009
Brown, Dan – Inferno - 2013
Brown, Dan – Oorsprong - 2017
Brown, Sandra – De laatste troef - 2020
Brusselmans, Herman – Vertrouw mij, ik kom uit de veehandel - 2020
Bryndza, Robert – Het meisje in het ijs - 2018
Crichton, Michael – Rising sun - 1992
Christie, Agatha -  De versierde bezem - 1969 
Christie, Agatha - Brief van een dode - 1937
Christie, Agatha - De begrafenis - 1953 
Christie, Agatha - De eindeloze nacht – 1967
Christie, Agatha - De geheime tegenstander - 1922
Christie, Agatha - De geheimzinnige Mr. Quin - 1930
Christie, Agatha - De laagte - 1946 
Christie, Agatha - De man die geluk bracht - 1931
Christie, Agatha - De man met het bruine pak - 1924
Christie, Agatha - De moord op Roger Ackroyd - 1926
Christie, Agatha - De moordenaar droeg blauw - 1952
Christie, Agatha - De moordenaar waagt een gok - 1936
Christie, Agatha - De muizenval - 1952
Christie, Agatha - De ongekende bestemming - 1954
Christie, Agatha - De pop in de schoorsteen - 1933
Christie, Agatha - De spiegel barst - 1962
Christie, Agatha - De vier klokken - 1963 
Christie, Agatha - De werken van Hercules - 1947
Christie, Agatha - De wraakgodin - 1970
Christie, Agatha - De zaak Styles - 1920
Christie, Agatha - De zeven wijzerplaten - 1929
Christie, Agatha - Doem der verdenking - 1948
Christie, Agatha - Dood van een danseres - 1933
Christie, Agatha - Drama in drie bedrijven - 1934
Christie, Agatha - Een goochelaarstruc - 1952
Christie, Agatha - Een handvol rogge - 1953
Christie, Agatha - Een kat tussen de duiven – 1959
Christie, Agatha - Een olifant vergeet niet gauw - 1972
Christie, Agatha - En het einde is de dood - 1944
Christie, Agatha - En toen waren er nog maar... - 1939
Christie, Agatha - Het ABC mysterie - 1936
Christie, Agatha - Het doek valt - 1975
Christie, Agatha - Het geheim van de blauwe trein - 1928
Christie, Agatha - Het kromme huis - 1949
Christie, Agatha - Het Lysterdale mysterie - 1934
Christie, Agatha - Het mysterie van Sittaford - 1931
Christie, Agatha - Het mysterieuze manuscript - 1925
Christie, Agatha - Het vale paard - 1961
Christie, Agatha - In hotel Bertram - 1965
Christie, Agatha - Lord Edgware sterft - 1933
Christie, Agatha - Miss Marple en haar 13 problemen - 1932
Christie, Agatha - Moord in de bibliotheek - 1942
Christie, Agatha - Moord in de martelstoel - 1932
Christie, Agatha – Moord in de Oriënt-Expres - 1934
Christie, Agatha - Moord in het studentenhuis - 1954
Christie, Agatha - Moord in het vliegtuig - 1935
Christie, Agatha - Moord in Mesopotamië - 1936
Christie, Agatha - Moord is kinderspel - 1957
Christie, Agatha - Moord onder vuurwerk - 1933
Christie, Agatha - Moord op de golflinks - 1923
Christie, Agatha - Moord op de Nijl - 1937
Christie, Agatha - Moord uit het verleden - 1976
Christie, Agatha - N of M? - 1941
Christie, Agatha - Passagier voor Frankfurt - 1970
Christie, Agatha - Poirot komt terug - 1927
Christie, Agatha - Poirot speelt bridge - 1936
Christie, Agatha - Rally naar Bagdad - 1951
Christie, Agatha - Schuldig in eigen ogen - 1958
Christie, Agatha - Sprankelend blauwzuur - 1945
Christie, Agatha – Trein 16.50 - 1957
Christie, Agatha - Uit Poirots praktijk - 1924
Christie, Agatha - Vijf kleine biggetjes - 1942
Christie, Agatha - Waarom Evans niet? - 1934
Christie, Agatha - Wie adverteert een moord! - 1950 
Christie, Agatha - Zoek de moordenaar - 1956
Dahl, Arne – Kentucky killer -1998
Dahl , Roald – Sjakie en de chocoladefabriek – 1964
De Bruyn, Patrick – Dodelijk verlangen -2010
De Bruyn, Patrick – Verliefd - 2007
Debbaut, Bart – Ik maak je kapot - 2011
Deflo, Luc – Lust – 2000
Deflo, Luc – Angst – 2001
Deflo, Luc – Hoeren – 2002
Deflo, Luc – Ademloos – 2003
Deflo, Luc – Weerloos – 2004
Deflo, Luc – Spoorloos – 2005
Deflo, Luc – Kortsluiting – 2006
Deflo, Luc – Bevroren hart – 2007
Deflo, Luc – Copycat – 2008
Deflo, Luc – Onschuldig – 2009
Deflo, Luc – Schimmen – 2010
Deflo, Luc – Jaloezie – 2011
Deflo, Luc – Phobia – 2012
Deflo, Luc – Intifada – 2013
Deflo, Luc – Pitbull – 2014
Deflo, Luc – Kick – 2015
Deflo, Luc – Prooi – 2016
Deflo, Luc – Verdorven – 2017
Deflo, Luc – Vlees – 2018
Deflo, Luc – Teek – 2019
Deflo, Luc – Genadeloos – 2020
Deflo, Luc – Naakte zielen – 2021
Deflo, Luc – Sluipend gif – 2022
Dickens , Charles – Oliver Twist – 1837
Eschbach , Andreas -Het messias mysterie – 1996
Fossum, Karin – Zwanenzang - 1999
Gage, Leighton - Kwaad bloed - 2010
Harris, Thomas – Hannibal – 1999
Hawkins, Paula - Het meisje in de trein - 2015
Hayder, Mo – De behandeling - 2002
Hougan, Jim – Het Magdalena complot - 2005
Howard, Catherine Ryan – Je liet mij leven - 2019
Hugo, Victor, De klokkenluider van de Notre Dame – 1831
Johansen, Iris – Pandora’s dochter - 2000
King, Stephen – Cujo - 1981
King, Stephen – De scherpschutter – 1982
King, Stephen – De Shining – 1977
King, Stephen – Het – 1986
King, Stephen – Fairy tale - 2022
King, Stephen – Tweeduister -  1987
King, Stephen – De noodzaak - 1997
King, Stephen – De storm van de eeuw - 1999
King, Stephen – Lisey’s verhaal - 2006
King, Stephen – Later -  2021
Kovach, Carla – Haar laatste fout – 2021
Lauryssens, Stan – Bloedrozen – 2012
Lauryssens, Stan – Doder dan dood – 2014
Lauryssens, Stan – Zwarte sneeuw – 2016
Lauryssens, Stan – Dode lijken – 2018
Macdonald, Patricia – De nacht is vol gevaren – 1997
Rendell, Ruth – Vermist – 1986
Robinson, Lynda – Moord in het huis van Anoebis bij de tempel van Amon – 1995
Pears, Iain – Het goud van de waarheid -1997
Saul, John – Bezeten brein – 1992
Strobbe, Koen – De wolf van Colombes – 2019
Waters, Sarah – Vingervlug – 2002
Ward, Catriona – Het laatste huis – 2021
Loomis, Gregg – Het Bonaparte Geheim – 2006
Prestons & Child – De gruwelkamer – 2004
Rowling, JK – Harry Potter & the chamber of secrets - 1998
Rowling, JK – Harry Potter & the deathly hallows – 2007
Rowling, JK – Harry Potter & the goblet of fire - 2000
Rowling, JK – Harry Potter & the half-blood prince - 2005
Rowling, JK – Harry Potter & the order of the phoenix - 2003
Rowling, JK – Harry Potter & the philosopher’s stone - 1997
Rowling, JK – Harry Potter & the prisoner of Azkaban - 1999
Siebelink, Jan – Jas van belofte – 2007
Vandenberg, Philipp – Het Golghota dossier - 1991
Vandenberg, Philipp – Het perkament van Montecassino - 1995
 
E-boeken
Dumas, Alexandre – De graaf van Monte Cristo – 1844
Gómez-Jurado, Juan– The Moses Expedition – 2022
Riordan, Rick – De bliksemdief – 2005
Riordan, Rick – De laatste olympiër – 2009
Riordan, Rick – De strijd om het labyrint – 2008
Riordan, Rick – De vloek van de Titaan – 2007
Riordan, Rick – Zee van monsters – 2006
Rowling, JK – Harry Potter en de geheime kamer – 1998
Rowling, JK – Harry Potter en de gevangene van Azkaban – 1999
Rowling, JK – Harry Potter en de Halfbloed Prins – 2005
Rowling, JK – Harry Potter en de Orde van de Feniks – 2003
Rowling, JK – Harry Potter en de Relieken van de Dood – 2007
Rowling, JK – Harry Potter en de Steen der Wijzen – 1997
Rowling, JK – Harry Potter en de Vuurbeker – 2000
Brown, Pierce – Rood – 2014
Tolkien, J.R.R. – De Hobbit – 1937
Tolkien, J.R.R. – De Terugkeer van de Koning – 1955
Tolkien, J.R.R. – De Twee Torens – 1954
Tolkien, J.R.R. – De Reisgenoten – 1954
Hugo, Victor – De ellendigen – 1862
Brown, Pierce– Morgenster – 2016
Brown, Pierce – Gouden Zoon – 2015
